vars,anzahl,monomials_pbf,timegen1_avg,timegen2_avg,time_SA,time_DA
300,20,45150,0.0045171380043029456,0.0036307811737059997,0.02127492618560791,0.23266686439514161
400,20,80200,0.008404624462127665,0.0086627840995788,0.033158930301666265,0.29904809188842774
500,20,125250,0.012771070003509494,0.01003915071487422,0.04728246927261352,0.35934756660461425
600,20,180300,0.02038121223449705,0.015336430072784374,0.06696733903884888,0.43346997737884524
700,20,245350,0.0271772503852844,0.021451151371002158,0.08815205907821655,0.4902475271224976
800,20,320400,0.03879051208496091,0.02855756282806391,0.11337478256225586,0.5575330791473389
900,20,405450,0.048784482479095434,0.03694646358489986,0.14345788478851318,0.6166986284255982
1000,20,500500,0.062147986888885474,0.04559699296951288,0.1761142010688782,0.6875598726272583
1100,20,605550,0.0765334367752075,0.05771038532257076,0.20826623249053955,0.7409004564285279
1200,20,720600,0.09101152420043943,0.06872779130935665,0.24443592691421506,0.7978537683486938
1300,20,845650,0.1100550293922424,0.0789006352424621,0.2855208830833435,0.8707887716293335
1400,20,980700,0.13172518014907836,0.09346786737442012,0.32939249563217166,0.9227761373519897
1500,20,1125750,0.15720400810241697,0.10892858505249019,0.3896207571029663,0.9968587865829468
1600,20,1280800,0.1920594573020935,0.12844132184982296,0.43410966825485225,1.072871371269226
1700,20,1445850,0.20632601976394654,0.13802860975265502,0.4704857134819031,1.1059686136245728
