problem,type_alg,name,pbf_size,total_time,steps,cooling_parm,Mins

NP,DA,8000;1000,16000000,17.77155089378357,50,"['logarithmic', 10000000, 0]","[np.int64(-4019310941472), np.int64(-4019257031552), np.int64(-4019123507040), np.int64(-4019271282720)]"
NP,DA,8000;1000,640000,6.9854631423950195,50,"['logarithmic', 10000000, 0]","[np.int64(-162159235700), np.int64(-162159233396), np.int64(-162159236064), np.int64(-162159236096), np.int64(-162159234500), np.int64(-162159231200), np.int64(-162159228356), np.int64(-162159236100), np.int64(-162159236084), np.int64(-162159235424), np.int64(-162159235956), np.int64(-162159209204), np.int64(-162159236064), np.int64(-162159234944), np.int64(-162159236064), np.int64(-162159232256), np.int64(-162159235616), np.int64(-162159235616), np.int64(-162159235076), np.int64(-162159234500), np.int64(-162159232256), np.int64(-162159226496), np.int64(-162159235616), np.int64(-162159233600), np.int64(-162159236096), np.int64(-162159235844), np.int64(-162159232500), np.int64(-162159208544), np.int64(-162159235076), np.int64(-162159225284), np.int64(-162159236084), np.int64(-162159235700), np.int64(-162159221700), np.int64(-162159236084), np.int64(-162159236036), np.int64(-162159235700), np.int64(-162159235616), np.int64(-162159233796), np.int64(-162159236084), np.int64(-162159236100), np.int64(-162159236084), np.int64(-162159233396), np.int64(-162159235904), np.int64(-162159230916), np.int64(-162159212996), np.int64(-162159210500), np.int64(-162159235956), np.int64(-162159234164), np.int64(-162159235700), np.int64(-162159235316)]"
NP,SA,8000;1000,640000,0.005009174346923828,50,"['logarithmic', 10000000, 0]","[np.int64(-162159235904), np.int64(-162071289216), np.int64(-162159192836), np.int64(-162159234944), np.int64(-162159235200), np.int64(-162159236084), np.int64(-162152496884), np.int64(-162159235200), np.int64(-162159220724), np.int64(-162159235844), np.int64(-162159234500), np.int64(-162159235904), np.int64(-162159235524), np.int64(-162159235956), np.int64(-162159233600), np.int64(-162159233396), np.int64(-162159235844), np.int64(-162159235700), np.int64(-162158740484), np.int64(-162159221700), np.int64(-162159235904), np.int64(-162159234336), np.int64(-162159234164), np.int64(-162159235616), np.int64(-162159173600), np.int64(-162159235316), np.int64(-162159236036), np.int64(-162159181344), np.int64(-162159155444), np.int64(-162159187700), np.int64(-162159236064), np.int64(-162159207200), np.int64(-162156650436), np.int64(-162159165344), np.int64(-162159230624), np.int64(-162159227264), np.int64(-162159229376), np.int64(-162159231744), np.int64(-162159233396), np.int64(-162159211764), np.int64(-162159200756), np.int64(-162159222176), np.int64(-162159226100), np.int64(-162014563316), np.int64(-162159236036), np.int64(-162159235904), np.int64(-162159230916), np.int64(-162159200756), np.int64(-162159236084), np.int64(-162159233396)]"
NP,DA,8000;1000,640000,7.124018907546997,50,"['logarithmic', 10000000, 0]","[np.int64(-162159235700), np.int64(-162159233396), np.int64(-162159236064), np.int64(-162159236096), np.int64(-162159234500), np.int64(-162159231200), np.int64(-162159228356), np.int64(-162159236100), np.int64(-162159236084), np.int64(-162159235424), np.int64(-162159235956), np.int64(-162159209204), np.int64(-162159236064), np.int64(-162159234944), np.int64(-162159236064), np.int64(-162159232256), np.int64(-162159235616), np.int64(-162159235616), np.int64(-162159235076), np.int64(-162159234500), np.int64(-162159232256), np.int64(-162159226496), np.int64(-162159235616), np.int64(-162159233600), np.int64(-162159236096), np.int64(-162159235844), np.int64(-162159232500), np.int64(-162159208544), np.int64(-162159235076), np.int64(-162159225284), np.int64(-162159236084), np.int64(-162159235700), np.int64(-162159221700), np.int64(-162159236084), np.int64(-162159236036), np.int64(-162159235700), np.int64(-162159235616), np.int64(-162159233796), np.int64(-162159236084), np.int64(-162159236100), np.int64(-162159236084), np.int64(-162159233396), np.int64(-162159235904), np.int64(-162159230916), np.int64(-162159212996), np.int64(-162159210500), np.int64(-162159235956), np.int64(-162159234164), np.int64(-162159235700), np.int64(-162159235316)]"
NP,SA,8000;1000,640000,0.00547480583190918,50,"['logarithmic', 10000000, 0]","[np.int64(-162159235904), np.int64(-162071289216), np.int64(-162159192836), np.int64(-162159234944), np.int64(-162159235200), np.int64(-162159236084), np.int64(-162152496884), np.int64(-162159235200), np.int64(-162159220724), np.int64(-162159235844), np.int64(-162159234500), np.int64(-162159235904), np.int64(-162159235524), np.int64(-162159235956), np.int64(-162159233600), np.int64(-162159233396), np.int64(-162159235844), np.int64(-162159235700), np.int64(-162158740484), np.int64(-162159221700), np.int64(-162159235904), np.int64(-162159234336), np.int64(-162159234164), np.int64(-162159235616), np.int64(-162159173600), np.int64(-162159235316), np.int64(-162159236036), np.int64(-162159181344), np.int64(-162159155444), np.int64(-162159187700), np.int64(-162159236064), np.int64(-162159207200), np.int64(-162156650436), np.int64(-162159165344), np.int64(-162159230624), np.int64(-162159227264), np.int64(-162159229376), np.int64(-162159231744), np.int64(-162159233396), np.int64(-162159211764), np.int64(-162159200756), np.int64(-162159222176), np.int64(-162159226100), np.int64(-162014563316), np.int64(-162159236036), np.int64(-162159235904), np.int64(-162159230916), np.int64(-162159200756), np.int64(-162159236084), np.int64(-162159233396)]"
NP,DA,800dwadawda0;1000,640000,7.445191860198975,50,"['logarithmic', 10000000, 0]","[np.int64(-162159235700), np.int64(-162159233396), np.int64(-162159236064), np.int64(-162159236096), np.int64(-162159234500), np.int64(-162159231200), np.int64(-162159228356), np.int64(-162159236100), np.int64(-162159236084), np.int64(-162159235424), np.int64(-162159235956), np.int64(-162159209204), np.int64(-162159236064), np.int64(-162159234944), np.int64(-162159236064), np.int64(-162159232256), np.int64(-162159235616), np.int64(-162159235616), np.int64(-162159235076), np.int64(-162159234500), np.int64(-162159232256), np.int64(-162159226496), np.int64(-162159235616), np.int64(-162159233600), np.int64(-162159236096), np.int64(-162159235844), np.int64(-162159232500), np.int64(-162159208544), np.int64(-162159235076), np.int64(-162159225284), np.int64(-162159236084), np.int64(-162159235700), np.int64(-162159221700), np.int64(-162159236084), np.int64(-162159236036), np.int64(-162159235700), np.int64(-162159235616), np.int64(-162159233796), np.int64(-162159236084), np.int64(-162159236100), np.int64(-162159236084), np.int64(-162159233396), np.int64(-162159235904), np.int64(-162159230916), np.int64(-162159212996), np.int64(-162159210500), np.int64(-162159235956), np.int64(-162159234164), np.int64(-162159235700), np.int64(-162159235316)]"
NP,SA,800dwadawda0;1000,640000,0.0065119266510009766,50,"['logarithmic', 10000000, 0]","[np.int64(-162159235904), np.int64(-162071289216), np.int64(-162159192836), np.int64(-162159234944), np.int64(-162159235200), np.int64(-162159236084), np.int64(-162152496884), np.int64(-162159235200), np.int64(-162159220724), np.int64(-162159235844), np.int64(-162159234500), np.int64(-162159235904), np.int64(-162159235524), np.int64(-162159235956), np.int64(-162159233600), np.int64(-162159233396), np.int64(-162159235844), np.int64(-162159235700), np.int64(-162158740484), np.int64(-162159221700), np.int64(-162159235904), np.int64(-162159234336), np.int64(-162159234164), np.int64(-162159235616), np.int64(-162159173600), np.int64(-162159235316), np.int64(-162159236036), np.int64(-162159181344), np.int64(-162159155444), np.int64(-162159187700), np.int64(-162159236064), np.int64(-162159207200), np.int64(-162156650436), np.int64(-162159165344), np.int64(-162159230624), np.int64(-162159227264), np.int64(-162159229376), np.int64(-162159231744), np.int64(-162159233396), np.int64(-162159211764), np.int64(-162159200756), np.int64(-162159222176), np.int64(-162159226100), np.int64(-162014563316), np.int64(-162159236036), np.int64(-162159235904), np.int64(-162159230916), np.int64(-162159200756), np.int64(-162159236084), np.int64(-162159233396)]"

JO,Fujitsu,sqlite/q12,0,0,0,0,"[np.float64(-571.7137999999995), np.float64(-571.8396999999994), np.float64(-571.4017999999995), np.float64(-570.3201999999995), np.float64(-570.0956999999994), np.float64(-570.5409999999995), np.float64(-571.1297999999995), np.float64(-571.7921999999995), np.float64(-571.7137999999994), np.float64(-571.8396999999994), np.float64(-570.5409999999995), np.float64(-571.3196999999993), np.float64(-571.1772999999994), np.float64(-570.5884999999994), np.float64(-570.2380999999993), np.float64(-571.4017999999995), np.float64(-570.4369999999994), np.float64(-570.1905999999994), np.float64(-571.4492999999994), np.float64(-571.9052999999993), np.float64(-571.9052999999993), np.float64(-571.5185999999994), np.float64(-571.7137999999994), np.float64(-570.1905999999994), np.float64(-571.4492999999994), np.float64(-570.8236999999993), np.float64(-571.7921999999995), np.float64(-571.1297999999995), np.float64(-573.4105999999996), np.float64(-573.8521999999996), np.float64(-571.6627999999996), np.float64(-567.2356999999994), np.float64(-571.9052999999993), np.float64(-571.7337999999995), np.float64(-571.2244999999995), np.float64(-569.9140999999994), np.float64(-567.0796999999994), np.float64(-569.1513999999995), np.float64(-573.0201999999996), np.float64(-567.4777999999995), np.float64(-568.6252999999995), np.float64(-570.6628999999996), np.float64(-569.3196999999994), np.float64(-568.1905999999996), np.float64(-570.6734999999995), np.float64(-569.4025999999994), np.float64(-574.3009999999995), np.float64(-573.8996999999995), np.float64(-573.8212999999994), np.float64(-568.7569999999996), np.float64(-575.1892999999994), np.float64(-568.0185999999995), np.float64(-573.2409999999995), np.float64(-567.0321999999995), np.float64(-571.3911999999997), np.float64(-571.4492999999994), np.float64(-573.8356999999994), np.float64(-570.5677999999996), np.float64(-573.1975999999997), np.float64(-571.1794999999996), np.float64(-570.4738999999997), np.float64(-568.0273999999995), np.float64(-568.5628999999996), np.float64(-570.5202999999997), np.float64(-570.6149999999997), np.float64(-569.5959999999998), np.float64(-574.2700999999994), np.float64(-569.7932999999995), np.float64(-577.8340999999995), np.float64(-571.5420999999994), np.float64(-573.9145999999997), np.float64(-576.3036999999994), np.float64(-575.7180999999994), np.float64(-573.6132999999996), np.float64(-573.5273999999997), np.float64(-577.0460999999993), np.float64(-576.2380999999993), np.float64(-577.3121999999995), np.float64(-577.0460999999993), np.float64(-572.7918999999996), np.float64(-576.7545999999995), np.float64(-576.6572999999994), np.float64(-577.4700999999994), np.float64(-576.1521999999994), np.float64(-572.3460999999994), np.float64(-577.5222999999996), np.float64(-574.0252999999996), np.float64(-575.5009999999996), np.float64(-571.1618999999998), np.float64(-577.1172999999994), np.float64(-576.2292999999995), np.float64(-574.0356999999996), np.float64(-577.0436999999996), np.float64(-572.2884999999997), np.float64(-576.9497999999995), np.float64(-577.0940999999995), np.float64(-576.9372999999995), np.float64(-576.6060999999995), np.float64(-577.2356999999995), np.float64(-573.2500999999996)]"
