problem,type_alg,name,pbf_size,total_time,steps,cooling_parm,Mins
GTP,MILP,0,406,0,0,0,"[8759.787714661388, 8759.787714661388, 8759.787714661388, 8759.787714661388, 8759.787714661388]"
GTP,SA,0,406,211.33090901374817,1000,"['logarithmic', 0.00015, 0]","[np.float64(10361.236478798171), np.float64(10330.291259134261), np.float64(9502.352787115884), np.float64(9376.197538557666), np.float64(10409.502152551704), np.float64(9455.408431980883), np.float64(9762.147108987752), np.float64(10156.901822784595), np.float64(9549.297142258001), np.float64(9666.937080094758), np.float64(10243.596540955157), np.float64(8972.637681392203), np.float64(10457.767826306394), np.float64(10063.01311251086), np.float64(9715.202753851598), np.float64(10409.502152557929), np.float64(9241.237146636304), np.float64(9935.536545331059), np.float64(10243.596540956318), np.float64(9897.107500914906), np.float64(9635.99186042713), np.float64(10244.917859575195), np.float64(9983.80221908856), np.float64(9107.59807332142), np.float64(9502.352787118547), np.float64(10109.957467647782), np.float64(9897.107500914623), np.float64(9935.536545330739), np.float64(9320.44804005049), np.float64(10804.256866350319), np.float64(9635.991860432809), np.float64(9715.202753852183), np.float64(9762.147108986777), np.float64(9289.502820384987), np.float64(9635.991860426511), np.float64(10196.652185819821), np.float64(9897.107500916409), np.float64(10156.901822783606), np.float64(10330.291259128498), np.float64(10243.596540955474), np.float64(9935.536545333875), np.float64(9549.297142257798), np.float64(10457.767826308533), np.float64(9549.297142254982), np.float64(10109.957467647997), np.float64(9935.536545331292), np.float64(9454.087113362868), np.float64(9637.313179046592), np.float64(10330.29125912828), np.float64(9589.047505290844), np.float64(9242.558465251012), np.float64(9897.107500921626), np.float64(9762.147108988815), np.float64(9549.29714225317)]"
GTP,DA,0,406,52.18405055999756,1000,"['logarithmic', 0.00015, 0]","[np.float64(9715.202753850594), np.float64(10244.917859575427), np.float64(10243.596540956201), np.float64(8972.637681392323), np.float64(9549.297142254727), np.float64(8972.637681392105), np.float64(9848.841827158623), np.float64(9502.352787117616), np.float64(10755.991192591682), np.float64(9455.408431980926), np.float64(9154.542428456592), np.float64(10243.59654095551), np.float64(9715.202753849902), np.float64(9850.163145778344), np.float64(8894.748106589148), np.float64(9367.392395189345), np.float64(8972.63768139273), np.float64(9549.29714225531), np.float64(10156.901822782747), np.float64(10804.256866348354), np.float64(9637.313179046578), np.float64(9154.542428456753), np.float64(8972.637681392764), np.float64(9549.29714225493), np.float64(9762.147108986293), np.float64(10504.712181443796), np.float64(10504.712181444032), np.float64(9850.163145777398), np.float64(8759.787714660764), np.float64(10109.957467646622), np.float64(9549.297142254414), np.float64(10804.256866348202), np.float64(10409.502152550718), np.float64(9762.147108986566), np.float64(9154.542428457156), np.float64(9549.297142254589), np.float64(9850.163145777999), np.float64(9850.163145778322), np.float64(9762.147108986272), np.float64(8972.637681392262), np.float64(10243.59654095488), np.float64(9762.147108986279)]"
GTP,MILP,1,2026,0,0,0,"[10291.083918139968, 10291.083918139968, 10291.083918139968, 10291.083918139968, 10291.083918139968]"
GTP,SA,1,2026,513.1141431331635,2000,"['logarithmic', 0.00019999999999999998, 0]","[np.float64(13237.402819978946), np.float64(12349.197499668488), np.float64(13714.953264131647), np.float64(13497.537953246516), np.float64(12356.892164885518), np.float64(14605.358067323788), np.float64(12668.928052638832), np.float64(15437.72196893992), np.float64(15033.649810558767), np.float64(13183.26996478191), np.float64(14167.635415325582), np.float64(12568.98889180203), np.float64(14132.265851887714), np.float64(13862.786225016738), np.float64(12423.91437489017), np.float64(13263.213387133117), np.float64(13358.962644988875), np.float64(14984.454073068235), np.float64(15640.504431922047), np.float64(15873.483816630207), np.float64(12958.180593949262), np.float64(15715.367892968323), np.float64(13603.617888346882), np.float64(14180.888560197855), np.float64(13336.00698697113)]"
GTP,DA,1,2026,273.47481536865234,2000,"['logarithmic', 0.00019999999999999998, 0]","[np.float64(12838.7700772049), np.float64(14439.702031260793), np.float64(14004.873125472339), np.float64(13762.45237090782), np.float64(13346.077941221898), np.float64(16074.203608195472), np.float64(12630.745443524647), np.float64(12856.830021000453), np.float64(13574.654932067235), np.float64(14672.347813578876), np.float64(13774.983884258938), np.float64(12692.719550803624), np.float64(14197.868589103993), np.float64(16037.392743304663), np.float64(12082.322450033782), np.float64(11900.140191877945), np.float64(12856.83002099146), np.float64(12787.676295208264), np.float64(13463.260054525133), np.float64(11746.42241365416), np.float64(12196.029291100174), np.float64(12528.361026972081), np.float64(12284.241188755113), np.float64(15018.688035045678), np.float64(14218.570618400438), np.float64(11818.057013237747), np.float64(12611.366483062273), np.float64(14841.516987719471), np.float64(15183.455546765239), np.float64(11789.09746421878), np.float64(13156.224062604248), np.float64(15511.64393105713), np.float64(13967.837408192703), np.float64(12730.669537571259), np.float64(12447.710296176738), np.float64(15181.105330334627), np.float64(13748.558813584736), np.float64(15300.476262472075), np.float64(12199.820951264046), np.float64(12152.755054054389), np.float64(11651.408942156908), np.float64(14894.872851556283), np.float64(11881.912694783809), np.float64(13676.248593356533), np.float64(12931.906803895152), np.float64(13967.804196271958), np.float64(13096.3232453635), np.float64(14030.152617399232), np.float64(14823.463048401842), np.float64(13134.966765391742), np.float64(12220.724562225034)]"
GTP,MILP,2,10193,0,0,0,"[14108.38235124485, 14108.38235124485, 14108.38235124485, 14108.38235124485, 14108.38235124485]"
GTP,SA,2,10193,1034.0435605049133,3000,"['logarithmic', 0.00025, 0]","[np.float64(19393.520858776348), np.float64(17741.84990272927), np.float64(18684.123788037483), np.float64(18155.557997290365), np.float64(16568.884745017043), np.float64(18261.212955974246), np.float64(20738.990779474057), np.float64(18933.382495746715), np.float64(17432.31447744096), np.float64(18953.13302731127), np.float64(19145.407066723972), np.float64(20430.525374131714), np.float64(21150.57895942335), np.float64(18110.14217395702), np.float64(19382.764913624123), np.float64(19083.918961152987), np.float64(16657.290496858826), np.float64(20890.825785591936), np.float64(21323.255107457517), np.float64(19461.470813399705), np.float64(17459.61406055707), np.float64(18757.033609279897), np.float64(20645.70217400568), np.float64(15969.57589850336), np.float64(19173.94435694345), np.float64(21146.40993567856), np.float64(18557.434385056782), np.float64(18729.57634777116), np.float64(19335.585983882833)]"
GTP,DA,2,10193,1083.589303970337,3000,"['logarithmic', 0.00025, 0]","[np.float64(17046.460086267645), np.float64(20187.3639971987), np.float64(17087.880851386813), np.float64(19215.588877684437), np.float64(19084.593768079707), np.float64(18734.233774094522), np.float64(20650.694695014972), np.float64(17364.454823527223), np.float64(19330.325851927802), np.float64(18308.511713078216), np.float64(19129.779540837015), np.float64(18820.61331793596), np.float64(18297.096721496695), np.float64(19836.387548740022), np.float64(16945.907750878745), np.float64(19985.84365396542), np.float64(20601.430090008478), np.float64(17674.78956113319), np.float64(19093.227742132673), np.float64(19319.656657738757), np.float64(19459.05139201932), np.float64(20121.407847942814), np.float64(18159.8839578178), np.float64(19561.242557823833), np.float64(16902.210557861632), np.float64(18729.51246223622), np.float64(22712.95920833535), np.float64(18533.244608003355), np.float64(16262.108874574886), np.float64(19868.198068246827), np.float64(20123.26876315812), np.float64(18664.27794425725), np.float64(17168.694753776566), np.float64(19750.89156026629), np.float64(21220.090647915727), np.float64(19573.243051071302), np.float64(17619.431722461915), np.float64(17686.66194123798), np.float64(19036.425117177278), np.float64(19860.208302058105), np.float64(19719.439977999835)]"
GTP,MILP,3,22033,0,0,0,"[16022.50878756455, 16022.50878756455, 16022.50878756455, 16022.50878756455, 16022.50878756455]"
