problem,type_alg,name,pbf_size,total_time,steps,cooling_parm,Mins
conv,SA,300,45150,110.16251349449158,1000,"['logarithmic', 200, 0]","[np.float64(-83672.30297290109), np.float64(-83726.36270217538), np.float64(-83747.99898593612), np.float64(-83815.12595569452), np.float64(-83876.11382803082), np.float64(-83876.11382803091), np.float64(-83647.61454929932), np.float64(-83728.70757642011), np.float64(-83665.25726503276), np.float64(-84211.5092839719), np.float64(-83963.49392632108), np.float64(-83501.8671209796), np.float64(-83727.8380798369), np.float64(-83685.17801475602), np.float64(-83833.98607146024), np.float64(-83711.81156142395), np.float64(-83470.24878989128), np.float64(-83833.98607146007), np.float64(-83833.9860714602), np.float64(-82560.54868798348), np.float64(-83452.68071975508), np.float64(-84211.5092839719), np.float64(-83813.4763534445), np.float64(-83941.23158779067), np.float64(-84211.509283972), np.float64(-83902.62589166522), np.float64(-83710.2474810295), np.float64(-83826.84562018572), np.float64(-83833.9860714602), np.float64(-83832.65532747321), np.float64(-83826.72380332465), np.float64(-83588.73349077701), np.float64(-83941.23158779049), np.float64(-84027.81179617502), np.float64(-83019.80249375704), np.float64(-83727.83807983706), np.float64(-83963.49392632117), np.float64(-83563.94189332923), np.float64(-83963.49392632124), np.float64(-83963.4939263213), np.float64(-83588.73349077684), np.float64(-83878.63429513971), np.float64(-84027.811796175), np.float64(-83718.97572140674), np.float64(-83627.58319530229), np.float64(-83941.23158779062), np.float64(-83739.97473272585), np.float64(-83685.1780147561), np.float64(-83614.54825448092), np.float64(-84027.81179617507)]"
conv,DA,300,45150,101.19983506202698,1000,"['logarithmic', 200, 0]","[np.float64(-83902.6258916652), np.float64(-83813.47635344455), np.float64(-84211.50928397202), np.float64(-83711.81156142411), np.float64(-83815.12595569428), np.float64(-83637.5146696747), np.float64(-83727.83807983693), np.float64(-84211.50928397203), np.float64(-83815.12595569433), np.float64(-84027.81179617507), np.float64(-82914.7649532415), np.float64(-83350.99842913373), np.float64(-83959.38169675152), np.float64(-83963.49392632114), np.float64(-83425.1603568469), np.float64(-83833.98607146024), np.float64(-83902.62589166522), np.float64(-83731.95605588683), np.float64(-83745.03878427106), np.float64(-83373.31194898605), np.float64(-83902.62589166527), np.float64(-83727.8380798369), np.float64(-83663.48952365514), np.float64(-84027.81179617513), np.float64(-84027.8117961751), np.float64(-83456.75637004302), np.float64(-83627.5831953023), np.float64(-83710.24748102938), np.float64(-82647.48041366499), np.float64(-83941.2315877907), np.float64(-83963.49392632111), np.float64(-84211.5092839719), np.float64(-84027.811796175), np.float64(-83727.838079837), np.float64(-83826.72380332467), np.float64(-84027.81179617517), np.float64(-84211.50928397194), np.float64(-83489.97687118163), np.float64(-83902.62589166513), np.float64(-83941.23158779061), np.float64(-84211.50928397199), np.float64(-83514.2396050767), np.float64(-83963.49392632114), np.float64(-83484.03824675597), np.float64(-84211.50928397193), np.float64(-84211.50928397175), np.float64(-83902.62589166514), np.float64(-84211.50928397184), np.float64(-83350.99842913373), np.float64(-84211.50928397191)]"
conv,SA,600,180300,376.9606657028198,1500,"['logarithmic', 250, 0]","[np.float64(-222141.84762708153), np.float64(-217453.35544137936), np.float64(-221172.083034709), np.float64(-220839.8602582044), np.float64(-222716.82086294025), np.float64(-220261.58111185225), np.float64(-222271.76950777636), np.float64(-222328.13573527787), np.float64(-221106.94921893434), np.float64(-221601.5269132207), np.float64(-222332.116980891), np.float64(-222883.2831862513), np.float64(-222924.29740100715), np.float64(-222367.2759905073), np.float64(-219391.26679834316), np.float64(-222350.54813090464), np.float64(-220472.26741670188), np.float64(-221538.9066107711), np.float64(-221560.19259350144), np.float64(-222332.49708595034), np.float64(-222255.6133696578), np.float64(-220450.95465397407), np.float64(-221289.3783910111), np.float64(-221700.20606185825), np.float64(-220880.5212147229), np.float64(-220614.5650814123), np.float64(-218385.1874975635), np.float64(-222572.4002169502), np.float64(-222620.2802821174), np.float64(-218723.21513885938), np.float64(-220853.0407132811), np.float64(-222094.18177380436), np.float64(-222522.14254401068), np.float64(-222737.99053339675), np.float64(-222112.34779718207), np.float64(-220322.57249409196), np.float64(-221119.79174341192), np.float64(-221569.9420746054), np.float64(-222893.20662358825), np.float64(-222563.46142701185), np.float64(-219683.29396117927), np.float64(-222507.51354281107), np.float64(-222284.20034781884), np.float64(-221420.91616919768), np.float64(-221898.6917940383), np.float64(-221777.73020756518), np.float64(-219884.23100280872), np.float64(-221416.2931489537), np.float64(-221831.3644430013), np.float64(-221904.0591099987)]"
conv,DA,600,180300,296.37464928627014,1500,"['logarithmic', 250, 0]","[np.float64(-222592.0653571677), np.float64(-222823.47967850804), np.float64(-221301.24948884448), np.float64(-222883.28318625173), np.float64(-222924.2974010071), np.float64(-220405.4931573043), np.float64(-221927.1975258112), np.float64(-222964.2326427116), np.float64(-222289.73778337074), np.float64(-222924.29740100715), np.float64(-219627.31485622612), np.float64(-222413.74738867747), np.float64(-222651.66415938662), np.float64(-222848.38221540654), np.float64(-222578.60158779143), np.float64(-222061.4158818299), np.float64(-222518.9106694627), np.float64(-222924.29740100732), np.float64(-222734.19510242343), np.float64(-222281.41251499538), np.float64(-220983.60299500596), np.float64(-222027.5065253298), np.float64(-222255.6133696577), np.float64(-222848.3822154068), np.float64(-222848.3822154064), np.float64(-221096.39240724643), np.float64(-219149.1035383872), np.float64(-222883.28318625138), np.float64(-221592.54719673438), np.float64(-221238.6291678219), np.float64(-221971.2346415874), np.float64(-222074.4883601298), np.float64(-222848.3822154067), np.float64(-220502.01916604358), np.float64(-218560.00538125137), np.float64(-222848.3822154064), np.float64(-222924.29740100744), np.float64(-222201.40151075335), np.float64(-221566.7396864586), np.float64(-221631.08327556885), np.float64(-222638.7700952092), np.float64(-221997.49952681593), np.float64(-222861.66315840255), np.float64(-221513.225374923), np.float64(-222716.82086294037), np.float64(-222446.91114967034), np.float64(-222848.38221540675), np.float64(-221103.03442809885), np.float64(-222682.0587761685), np.float64(-220878.54348953307)]"
conv,SA,900,405450,790.2293467521667,2000,"['logarithmic', 300, 0]","[np.float64(-413850.10118575033), np.float64(-414016.1348461302), np.float64(-414229.6796741425), np.float64(-414776.6247431843), np.float64(-413846.05600751814), np.float64(-417157.3178744592), np.float64(-411755.4655279374), np.float64(-414660.3370627819), np.float64(-415013.36686513305), np.float64(-412819.7456429136), np.float64(-413804.4807905642), np.float64(-417091.2876602181), np.float64(-411609.0862103604), np.float64(-411320.8277426447), np.float64(-416085.51628158597), np.float64(-416272.6016659109), np.float64(-413962.52331726544), np.float64(-412848.6916405709), np.float64(-415117.6129394071), np.float64(-413597.9683691786), np.float64(-409987.65006274916), np.float64(-414982.1806665618), np.float64(-414818.65143821324), np.float64(-413712.91539629607), np.float64(-416581.91766011936), np.float64(-415122.5584619144), np.float64(-413546.9874934624), np.float64(-416176.3073521588), np.float64(-415124.18647284625), np.float64(-415348.7717159058), np.float64(-414964.7462066704), np.float64(-414407.68033365515), np.float64(-412997.7434142569), np.float64(-413423.9932663136), np.float64(-412183.42297211644), np.float64(-413138.9856627555), np.float64(-413512.5066972287), np.float64(-414003.1579862402), np.float64(-415049.12702450994), np.float64(-414210.10269106395), np.float64(-413323.23873037985), np.float64(-416236.0304632839), np.float64(-412894.1815401326), np.float64(-413277.98934380605), np.float64(-415655.2438349613), np.float64(-413349.2904832916), np.float64(-413204.1265630121), np.float64(-415178.7996804161), np.float64(-413732.107512377), np.float64(-415680.23667813)]"
conv,DA,900,405450,596.2344174385071,2000,"['logarithmic', 300, 0]","[np.float64(-412485.5139108958), np.float64(-415882.03436693293), np.float64(-415282.36715109646), np.float64(-415455.96963660617), np.float64(-416189.8420368741), np.float64(-417511.356797799), np.float64(-417474.3512892743), np.float64(-416294.85439991404), np.float64(-412310.5351806268), np.float64(-414018.66509784595), np.float64(-414686.60530576407), np.float64(-417444.6135420822), np.float64(-413784.4426205666), np.float64(-415409.15677252924), np.float64(-415313.2639994827), np.float64(-411884.1195957229), np.float64(-416189.842036874), np.float64(-413543.2230259439), np.float64(-415096.24475154973), np.float64(-415786.1854668922), np.float64(-414398.36814516736), np.float64(-414915.07591380976), np.float64(-412875.2548627377), np.float64(-414966.2663999315), np.float64(-415333.25000758475), np.float64(-414785.341677297), np.float64(-417225.2445870824), np.float64(-416422.60416267643), np.float64(-415591.2704378186), np.float64(-417127.0951908662), np.float64(-416422.60416267574), np.float64(-413663.5243940333), np.float64(-412436.4396789604), np.float64(-414277.7941916317), np.float64(-415406.74188339117), np.float64(-413374.2268752034), np.float64(-413688.049321885), np.float64(-414825.23503666837), np.float64(-415941.8679540221), np.float64(-417474.35128927504), np.float64(-415066.54311558837), np.float64(-416481.8460219424), np.float64(-414832.3024521509), np.float64(-414457.4583180773), np.float64(-414483.4201616888), np.float64(-417444.6135420827), np.float64(-416683.47816983), np.float64(-416473.4323686593), np.float64(-416554.01655986), np.float64(-417263.25286903954)]"
conv,SA,1200,720600,1346.1294722557068,2500,"['logarithmic', 350, 0]","[np.float64(-641432.4100699959), np.float64(-637126.5337188455), np.float64(-629932.7774623812), np.float64(-642082.7967927764), np.float64(-640188.2756630621), np.float64(-641121.8167934949), np.float64(-640903.3954829802), np.float64(-636313.9152967264), np.float64(-639759.4056377002), np.float64(-635407.8921365353), np.float64(-639470.8263005739), np.float64(-636261.5889859999), np.float64(-634352.1406875814), np.float64(-639353.6736726556), np.float64(-631548.1278661793), np.float64(-636550.5523206157), np.float64(-635336.7454609937), np.float64(-640915.2545904708), np.float64(-636272.5860045563), np.float64(-640073.3630590674), np.float64(-635584.5653751506), np.float64(-640028.3782987177), np.float64(-633273.2794996661), np.float64(-636242.6213308441), np.float64(-634211.4887824121), np.float64(-638015.5439036273), np.float64(-641684.279925395), np.float64(-636136.182132261), np.float64(-641678.1127656413), np.float64(-632587.1692496848), np.float64(-635424.5897453388), np.float64(-637466.7133666896), np.float64(-640392.4281595491), np.float64(-636851.8927751449), np.float64(-638711.7730505117), np.float64(-638599.399957318), np.float64(-640807.1505224562), np.float64(-637549.0030347575), np.float64(-635176.4381796255), np.float64(-638003.3465020393), np.float64(-636927.6645321999), np.float64(-639691.9483659174), np.float64(-635363.4982240984), np.float64(-635172.6473294583), np.float64(-638677.2841780932), np.float64(-637429.2733913723), np.float64(-642389.4121927248), np.float64(-639680.5720749631), np.float64(-635800.0175785978), np.float64(-639226.2097560284)]"
conv,DA,1200,720600,985.9282836914062,2500,"['logarithmic', 350, 0]","[np.float64(-642453.7950446396), np.float64(-637720.4047787923), np.float64(-637518.5041679203), np.float64(-635372.1793033845), np.float64(-640183.9733412584), np.float64(-634705.9181340312), np.float64(-642514.7548271983), np.float64(-639356.6500250464), np.float64(-637137.7674940557), np.float64(-641561.8426270678), np.float64(-643194.0895178376), np.float64(-638686.3917884057), np.float64(-640747.6468932776), np.float64(-641391.1844735928), np.float64(-640746.8481523774), np.float64(-640199.6339729165), np.float64(-636685.1979112512), np.float64(-634699.5995920983), np.float64(-635801.3309016885), np.float64(-639138.5178879171), np.float64(-636942.9032616891), np.float64(-635671.4109670328), np.float64(-642640.4911850897), np.float64(-639493.4458680393), np.float64(-640954.7138427317), np.float64(-642048.2204626168), np.float64(-642231.1644039642), np.float64(-638244.9653432403), np.float64(-638494.2105394595), np.float64(-638863.7843959512), np.float64(-637045.2042253296), np.float64(-641201.9241172124), np.float64(-640061.5937571262), np.float64(-637707.6463755373), np.float64(-640772.3221868905), np.float64(-638977.8205949987), np.float64(-641807.6725466381), np.float64(-635889.1791829913), np.float64(-634218.4278483189), np.float64(-638555.3607210139), np.float64(-642112.7033929116), np.float64(-640607.1637999004), np.float64(-639920.4994195563), np.float64(-640764.510191658), np.float64(-637373.391771304), np.float64(-642677.4053394423), np.float64(-635151.9801452295), np.float64(-635276.635379192), np.float64(-641173.4988289024), np.float64(-639457.1270109998)]"
conv,SA,1500,1125750,2087.187963247299,3000,"['logarithmic', 400, 0]","[np.float64(-858234.641976783), np.float64(-863069.2524544006), np.float64(-859344.0929194028), np.float64(-860862.3214927895), np.float64(-858358.1068373506), np.float64(-864393.837731913), np.float64(-860371.8704488531), np.float64(-866774.1705224948), np.float64(-860820.6012124949), np.float64(-857309.588975354), np.float64(-862364.486292331), np.float64(-860920.0640536633), np.float64(-847764.8191559716), np.float64(-857634.824204228), np.float64(-865664.2040998967), np.float64(-864542.1322820146), np.float64(-859390.1581077777), np.float64(-860764.2542156985), np.float64(-859820.5518956564), np.float64(-863946.6765648603), np.float64(-862060.1146261091), np.float64(-866840.9962264291), np.float64(-855640.2678857095), np.float64(-856349.2320305766), np.float64(-862588.8441526444), np.float64(-862479.6884630049), np.float64(-859974.2327395689), np.float64(-856466.7388019273), np.float64(-859288.6120238026), np.float64(-865198.3648497129), np.float64(-861148.5747117518), np.float64(-860659.0856963749), np.float64(-855039.6228729798), np.float64(-854833.4244855929), np.float64(-866156.6331212843), np.float64(-858697.8491709274), np.float64(-860175.7547354955), np.float64(-864349.7745293952), np.float64(-856372.124511698), np.float64(-861573.6767048332), np.float64(-858437.5534660439), np.float64(-861699.3420964305), np.float64(-863577.2048618948), np.float64(-862327.2173761694), np.float64(-859575.3985204966), np.float64(-864981.2213139749), np.float64(-860605.0202998575), np.float64(-852441.4137001229), np.float64(-855272.0546612042), np.float64(-859181.8323973734)]"
conv,DA,1500,1125750,1474.745816707611,3000,"['logarithmic', 400, 0]","[np.float64(-864881.2106680614), np.float64(-863105.3846333749), np.float64(-866270.0136034437), np.float64(-864438.2673700411), np.float64(-867881.2706928079), np.float64(-865667.7979702253), np.float64(-867083.4492094483), np.float64(-865273.4663194657), np.float64(-862992.7726100552), np.float64(-865880.8346808932), np.float64(-865385.2896463907), np.float64(-868313.2827199512), np.float64(-864626.9162713579), np.float64(-867231.5561040796), np.float64(-866597.1934411069), np.float64(-859578.998953577), np.float64(-867699.7540479836), np.float64(-863841.6034507427), np.float64(-867810.4554170407), np.float64(-863921.9641036454), np.float64(-862692.541850491), np.float64(-865571.2144091367), np.float64(-864380.6565401236), np.float64(-863082.817385013), np.float64(-865459.8812452424), np.float64(-867716.670766476), np.float64(-866877.7601556487), np.float64(-861332.368893004), np.float64(-868784.9563470123), np.float64(-866737.8598261569), np.float64(-865489.7308666629), np.float64(-865554.1457541622), np.float64(-864918.9603757719), np.float64(-865506.2973086812), np.float64(-868119.7317346564), np.float64(-867564.277601055), np.float64(-854926.8047040727), np.float64(-867684.3686666584), np.float64(-857331.6789966844), np.float64(-864919.116340091), np.float64(-859882.6520123899), np.float64(-861519.2228253719), np.float64(-866856.2218215534), np.float64(-867185.682644574), np.float64(-864426.5609916538), np.float64(-863410.108521398), np.float64(-866825.2998609028), np.float64(-863978.5483182406), np.float64(-866000.7357215927), np.float64(-866489.2256227619)]"
